CID,Category,SubCategory,HeelHeight,Insole,Closure,Gender,Material,ToeStyle
8031229-1522,Sandals,Flat,Flat,EVA,Slip-On,Men,Synthetic,Open Toe
7900236-711,Sandals,Flat,Under 1in,Leather,Hook and Loop,Girls,Leather,Open Toe
7295954-72,Shoes,Oxfords,,Removable,Lace up,Men,Leather,Round Toe
7976007-44016,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Orthotic Friendly;Padded,Hook and Loop,Men;Women,Leather;Synthetic,
7614940-95658,Sandals,Flat,,Moisture Wicking;Padded,Slip-On,Women,Leather,Open Toe
7540504-26010,Sandals,Flat,,,Slip-On,Women,Rubber,
8060412-383462,Shoes,Sneakers and Athletic Shoes,Flat,,Lace up,Women,Mesh;Synthetic,
7774838-197933,Sandals,Flat,,Leather,Slip-On,Women,Leather,Open Toe
8030346-6,Boots,Mid-Calf,2in - 2 3/4in,,Pull-on,Women,Faux Leather,Round Toe;Closed Toe
7626960-47562,Sandals,Flat,2in - 2 3/4in,Padded,Button Loop;Ankle Strap,Women,Leather,Open Toe
8122101-20,Shoes,Loafers,Flat,,Slip-On,Men,Leather,Moc Toe
7991363-3098,Shoes,Loafers,Under 1in,Moisture Wicking,Slip-On,Women,,Round Toe;Closed Toe
7429334-348907,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Slip-On,Men;Women,Canvas;Rubber;Suede,
7920622-3,Sandals,Flat,Under 1in,,Buckle;Ankle Strap,Women,Leather,Open Toe
7902325-91608,Sandals,Flat,1in - 1 3/4in,Padded;Removable,Buckle,Women,Leather,Open Toe
8009467-3,Shoes,Loafers,Flat,Padded,Slip-On,Men,Leather,Closed Toe
8063856-5657,Shoes,Flats,5in & over,Padded,Slip-On,Women,Leather;Nappa,Capped Toe
7999532-210439,Boots,Mid-Calf,1in - 1 3/4in,Padded,Pull-on,Women,Leather,Round Toe;Closed Toe
8025339-371434,Shoes,Flats,Under 1in,Textile,Slip-On,Girls,Synthetic,Capped Toe;Round Toe;Closed Toe
8050296-3320,Shoes,Sneakers and Athletic Shoes,Flat,Textile,,Women,Rubber;Suede,
7503952-208913,Sandals,Flat,,Moisture Wicking;Padded,Buckle;Slip-On,Men;Women,Cork;Jute;Leather,Open Toe
8057627-3,Boots,Mid-Calf,1in - 1 3/4in,,Pull-on,Men,Leather,Snub Toe;Closed Toe
7138760-3,Shoes,Sneakers and Athletic Shoes,,,Buckle;Slip-On,Girls,Leather,
7999649-213369,Shoes,Firstwalker,Flat,Leather,Hook and Loop,Boys,Leather,Bump Toe;Round Toe;Closed Toe
7896523-89,Sandals,Flat,Under 1in,Padded,Slip-On,Girls,Synthetic,
8045179-72,Boots,Knee High,1in - 1 3/4in,Padded,Zipper,Women,Leather,Round Toe;Closed Toe
7967360-1430,Sandals,Flat,1in - 1 3/4in,,Slip-On,Women,Nubuck;Nylon,Open Toe
8055163-326,Shoes,Heels,3in - 3 3/4in,Padded,Slip-On,Women,Leather,Almond;Closed Toe
7991650-3,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Leather,Round Toe;Closed Toe
7773110-24150,Shoes,Sneakers and Athletic Shoes,,EVA;Padded,Lace up,Boys,Canvas;Rubber;Suede,
7909691-331956,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Leather,Bump Toe
7181360-3207,Slippers,Slipper Flats,,Padded,Slip-On,Women,Fleece;Sheepskin,Round Toe;Closed Toe
8084338-6,Shoes,Loafers,Flat,Leather,Slip-On,Men,Leather;Synthetic,Snub Toe
8034368-442,Shoes,Heels,4in - 4 3/4in,Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
8004658-165809,Shoes,Heels,2in - 2 3/4in,Leather;Padded,Slip-On,Women,Nappa;Suede,Square Toe;Wingtip;Closed Toe
7833071-151,Shoes,Sneakers and Athletic Shoes,,Memory Foam;Padded;Removable,,Women,Mesh;Nylon;Rubber,Wide Toe Box
7818805-300595,Shoes,Oxfords,,Leather;Padded,Lace up,Men,Leather,Moc Toe
7162892-330362,Shoes,Sneakers and Athletic Shoes,Flat,EVA;Removable,Lace up,Men;Women,Canvas;Lace;Leather;Rubber;Tweed,
8014907-115670,Shoes,Sneakers and Athletic Shoes,Flat,,Lace up,Men,Full-grain leather,
8032229-2537,Shoes,Sneakers and Athletic Shoes,,Padded,Hook and Loop,Men,Leather;Suede,
8044103-767,Shoes,Heels,4in - 4 3/4in,Padded,Slip-On,Women,Synthetic,Round Toe;Closed Toe
7996579-3,Shoes,Sneakers and Athletic Shoes,,Padded;Textile,Lace up,Women,Leather,Round Toe;Closed Toe
7880571-401,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Women,Leather;Synthetic,Almond;Pointed Toe;Closed Toe
8069902-6084,Shoes,Heels,4in - 4 3/4in,Leather,Elastic Gore;Slip-On,Women,,Peep Toe
7956692-632,Sandals,Flat,2in - 2 3/4in,,Slip-On,Women,Leather,Open Toe
7335579-464,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Canvas,Round Toe;Closed Toe
7928721-339281,Sandals,Flat,2in - 2 3/4in,Leather;Moisture Wicking;Padded,Hook and Loop,Women,Leather,Open Toe
8037494-375549,Shoes,Sneakers and Athletic Shoes,Flat,Removable,Lace up,Men,Lace;Rubber;Synthetic,
115792-72,Shoes,Loafers,1in - 1 3/4in,Padded,Slip-On,Women,Leather,Moc Toe;Round Toe;Closed Toe
8007514-43752,Boots,Ankle,2in - 2 3/4in,Orthotic Friendly;Padded;Removable,Lace up,Women,Leather,Round Toe;Closed Toe
7987417-4002,Boots,Mid-Calf,Under 1in,,Pull-on,Women,Rubber,Round Toe;Closed Toe
7901787-13855,Shoes,Sneakers and Athletic Shoes,,EVA,Bungee,Women,Mesh;Rubber;Synthetic,Round Toe
7999383-39286,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Padded,Zipper,Women,Suede;Velour,Round Toe;Closed Toe
8031242-182778,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather,Moc Toe;Closed Toe
7976439-311168,Shoes,Heels,2in - 2 3/4in,Padded,Slip-On,Women,Suede,Round Toe;Closed Toe
7977426-41215,Shoes,Flats,Under 1in,Memory Foam;Padded;Removable,Slip-On,Women,Full-grain leather,Closed Toe
7172793-33570,Shoes,Boat Shoes,,,Lace up,Men,Leather,Moc Toe
7339383-24839,Boots,Ankle,1in - 1 3/4in,Padded;Polyurethane,Lace up,Women,Full-grain leather;Leather;Mesh;Nylon;Rubber,Round Toe
8020671-152743,Boots,Knee High,Under 1in,,Zipper,Women,Synthetic,Round Toe;Closed Toe
7997070-3,Boots,Ankle,Flat,Padded,Lace up,Women,Suede,Round Toe;Closed Toe
7977948-2294,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Synthetic,
7155963-102360,Shoes,Sneakers and Athletic Shoes,Flat,,Lace up,Men;Women,Canvas,
7999954-89,Shoes,Flats,Under 1in,,Slip-On,Women,Synthetic,Almond;Closed Toe
7514049-188206,Shoes,Sneakers and Athletic Shoes,,EVA;Removable,Lace up,Women,Leather,Round Toe
8007102-4045,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Women,Leather,Square Toe;Closed Toe
7849726-303392,Shoes,Heels,3in - 3 3/4in,Leather,Slip-On,Women,Leather,Round Toe
7947572-72,Sandals,Flat,,,Zipper,Women,Leather,Open Toe
7977998-89,Shoes,Heels,3in - 3 3/4in,Padded,Slip-On,Women,Leather,Pointed Toe;Closed Toe
8045726-3,Boots,Ankle,1in - 1 3/4in,Leather;Padded,Pull-on;Zipper,Men,Leather;Suede,Round Toe;Closed Toe
7824980-399458,Sandals,Flat,1in - 1 3/4in,Latex Lined;Memory Foam,Hook and Loop,Women,Patent Leather,Open Toe
7447079-264230,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Leather,Pointed Toe
7252119-729,Sandals,Heel,1in - 1 3/4in,,Elastic Gore;Slip-On,Women,Leather,Round Toe;Open Toe
7993014-6,Shoes,Sneakers and Athletic Shoes,,EVA,Slip-On,Women,Canvas;Corduroy;Shearling,Round Toe
7950983-3,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Canvas;Lace;Rubber,Round Toe
7909691-303056,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Leather,Bump Toe
8122084-14,Shoes,Boat Shoes,Flat,,Slip-On,Men,Leather,Moc Toe;Closed Toe
8030031-375833,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,EVA;Latex Lined;Padded,Lace up,Women,Faux Leather;Leather;Mesh;Rubber;Synthetic,
7999980-3,Shoes,Loafers,1in - 1 3/4in,Leather;Padded,Slip-On,Women,Suede,Round Toe;Closed Toe
8070574-6333,Shoes,Heels,3in - 3 3/4in,Leather,Slip-On,Women,Leather,Pointed Toe
8009301-366180,Boots,Mid-Calf,1in - 1 3/4in,,Lace up,Girls,,
8025540-371479,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Lace up,Women,Leather,Round Toe;Closed Toe
8041505-3,Boots,Knee High,1in - 1 3/4in,,Zipper,Women,Leather,Round Toe
7907548-16140,Sandals,Flat,,Padded,Buckle;Ankle Strap,Women,Leather,Open Toe
7902067-3,Shoes,Heels,4in - 4 3/4in,Leather,Lace up,Women,Leather,Round Toe
7290076-374561,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Slip-On,Boys;Girls,Canvas,
7809370-16583,Shoes,Heels,3in - 3 3/4in,,Buckle,Women,Leather,Round Toe;Closed Toe
8025508-20,Shoes,Sneakers and Athletic Shoes,Flat,Padded;Removable,Lace up,Men,Leather,
7816726-47621,Shoes,Heels,3in - 3 3/4in,,Buckle,Women,Leather,
8020151-360512,Shoes,Sneakers and Athletic Shoes,Flat,Memory Foam;Moisture Wicking;Padded,Hook and Loop,Girls,Leather,
7978165-3,Shoes,Heels,3in - 3 3/4in,Leather;Padded,Buckle,Women,Leather,Peep Toe
8107634-145269,Shoes,Loafers,2in - 2 3/4in,Leather;Padded,Slip-On,Women,Synthetic,Moc Toe;Round Toe;Closed Toe
7805869-8287,Shoes,Sneakers and Athletic Shoes,,EVA;Leather;Padded,Lace up,Men,Leather;Nylon;Rubber;Suede,
7925891-337801,Shoes,Loafers,1in - 1 3/4in,Leather;Padded,,Women,Leather,Closed Toe
7880241-89,Shoes,Heels,2in - 2 3/4in,Moisture Wicking;Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
7996550-18,Sandals,Flat,1in - 1 3/4in,Padded,Hook and Loop,Women,Leather,Open Toe
7590170-131,Shoes,Oxfords,,Poron;Removable,Lace up,Men,Leather,
8000960-15032,Shoes,Oxfords,,Leather,Lace up,Men,Lace;Leather;Synthetic,
8086486-394933,Shoes,Loafers,,Hypoallergenic,Elastic Gore;Slip-On,Men,Cotton;Linen,Round Toe
8064783-216,Shoes,Loafers,1in - 1 3/4in,,Slip-On,Men,Leather,Bicycle Toe;Closed Toe
7667036-397024,Shoes,Flats,Under 1in,Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
7158233-3575,Shoes,Boat Shoes,,Moisture Wicking;Padded,Lace up,Men,Leather,Moc Toe
7981465-37014,Shoes,Heels,2in - 2 3/4in,,Lace up,Women,Suede,Peep Toe
7297893-3,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded;Poron,Pull-on,Women,Leather;Neoprene;Rubber;Suede,Round Toe
8114096-14509,Shoes,Heels,4in - 4 3/4in,Leather,Buckle;Ankle Strap,Women,Suede,Peep Toe
7997313-363226,Boots,Ankle,Flat,,Pull-on,Girls,,
7562498-43362,Shoes,Clogs and Mules,1in - 1 3/4in,EVA;Moisture Wicking;Padded,Elastic Gore;Slip-On,Women,Leather,Bump Toe;Round Toe
7936889-8607,Shoes,Oxfords,1in - 1 3/4in,Padded,Lace up,Men,Leather,Medallion;Wingtip;Closed Toe
8046563-128,Shoes,Heels,4in - 4 3/4in,Leather,Slip-On,Women,Leather,Almond;Moc Toe;Closed Toe
113602-122,Sandals,Flat,1in - 1 3/4in,Leather;Padded,Buckle,Women,Leather;Suede,Open Toe
8039368-4884,Shoes,Flats,Under 1in,Leather;Padded,Slip-On,Women,Lambskin;Leather;Suede,
8087734-29108,Shoes,Flats,Under 1in,Padded,Slip-On,Women,Full-grain leather,Pointed Toe;Closed Toe
8020679-3,Shoes,Firstwalker,,Leather;Padded,Hook and Loop,Boys,Leather,Bump Toe;Closed Toe
8051299-52294,Boots,Knee High,Under 1in,,Zipper,Women,Leather,Round Toe;Closed Toe
8015049-6,Boots,Ankle,1in - 1 3/4in,Textile,Lace up,Women,Leather;Suede,Round Toe;Closed Toe
7917682-13875,Shoes,Flats,Under 1in,Padded,Lace up,Women,Suede,Round Toe
8007754-82199,Boots,Knee High,Under 1in,Textile,Zipper,Girls,Synthetic,Round Toe;Closed Toe
7661814-7547,Boots,Mid-Calf,,,Bungee;Pull-on,Boys,Rubber;Synthetic,
7825638-3,Boots,Ankle,1in - 1 3/4in,Leather;Moisture Wicking,Zipper,Women,Leather,Round Toe;Closed Toe
7718920-72,Shoes,Sneakers and Athletic Shoes,,,Toggle,Men,Leather,Round Toe;Closed Toe
8023622-99070,Shoes,Heels,1in - 1 3/4in,,Slip-On,Women,Synthetic,Moc Toe;Round Toe;Closed Toe
8022421-370733,Shoes,Heels,4in - 4 3/4in,,Slip-On,Women,Hair Calf,Pointed Toe
8026050-133,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up;Zipper,Men,Canvas;Rubber,
8116572-687,Shoes,Heels,4in - 4 3/4in,Leather;Padded,Sling Back,Women,Patent Leather,Round Toe;Closed Toe
7628222-24132,Shoes,Flats,Under 1in,Padded;Synthetic Leather,Slip-On,Women,Synthetic,Snub Toe;Closed Toe
7875409-4774,Sandals,Flat,,Padded,Slip-On,Women,Leather;Nubuck,Open Toe
7921325-383055,Shoes,Sneakers and Athletic Shoes,,,Lace up,Men,Mesh,Round Toe
7992959-6,Shoes,Loafers,,EVA;Padded,Slip-On,Men,Corduroy;Shearling;EVA,Round Toe
7970550-46497,Shoes,Heels,4in - 4 3/4in,Leather;Padded,Slip-On,Women,Leather;Suede,Round Toe;Closed Toe
8017552-14,Shoes,Sneakers and Athletic Shoes,Flat,Padded,Hook and Loop,Boys,Leather,Round Toe;Closed Toe
7991976-408665,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Canvas,
7534458-585,Sandals,Flat,,Leather,Buckle;Ankle Strap,Boys;Girls,Leather,
7344965-113371,Slippers,Slipper Flats,,Memory Foam;Padded,Slip-On,Men,Suede,Moc Toe
8078743-216,Shoes,Oxfords,Flat,Leather,Lace up,Men,Leather,Snub Toe;Closed Toe
7328342-106,Shoes,Flats,1in - 1 3/4in,Leather;Moisture Wicking;Padded,Hook and Loop;Slip-On,Women,Leather,Round Toe;Closed Toe
7229693-3838,Shoes,Sneakers and Athletic Shoes,1in - 1 3/4in,Orthotic Friendly;Removable,Hook and Loop,Women,Leather,Moc Toe
7791989-184651,Boots,Mid-Calf,1in - 1 3/4in,Leather;Padded,Pull-on,Women,Leather,Snub Toe;Closed Toe
7419008-375067,Shoes,Sneakers and Athletic Shoes,,,,Girls,,
7156500-89,Sandals,Flat,1in - 1 3/4in,Leather;Padded,Ankle Strap,Women,Patent Leather,
7898610-585,Shoes,Sneakers and Athletic Shoes,,EVA,Bungee,Men,Vinyl,
7922162-151,Shoes,Loafers,,,Slip-On,Men,Leather,Round Toe
7882817-513,Shoes,Sneakers and Athletic Shoes,,,Slip-On,Women,Synthetic,Round Toe;Closed Toe
7768746-282425,Shoes,Sneakers and Athletic Shoes,,Moisture Wicking;Textile,Bungee;Toggle,Boys,Mesh;Synthetic,
7261863-216,Shoes,Loafers,,EVA;Padded;Removable,Elastic Gore;Slip-On,Men,Full-grain leather;Leather,Bicycle Toe;Square Toe
7586191-755,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Girls,Faux Leather,
7810754-513,Sandals,Flat,1in - 1 3/4in,Leather,Slip-On,Women,Leather,Open Toe
7925403-337489,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Mesh;Rubber;Synthetic,
8076015-585,Shoes,Flats,Under 1in,Padded,Slip-On,Women,Synthetic,Moc Toe;Closed Toe
7999984-3,Boots,Ankle,1in - 1 3/4in,Leather,Elastic Gore,Women,Leather,Moc Toe;Closed Toe
8034487-374544,Boots,Ankle,,Padded,Lace up,Men,Suede,Round Toe
8023436-134932,Shoes,Loafers,,Leather;Padded,Slip-On,Girls,Suede,Moc Toe;Round Toe;Closed Toe
8005206-764,Shoes,Sneakers and Athletic Shoes,,,,Men,,Capped Toe;Closed Toe
7773133-222395,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Girls,,
7960680-401,Boots,Ankle,Under 1in,Padded,Toggle,Women,Suede,Round Toe;Closed Toe
109117-286843,Sandals,Flat,,Latex Lined;Moisture Wicking;Padded;Synthetic Leather,Buckle;Slip-On,Women,Jute,Open Toe
8031662-6,Boots,Ankle,Flat,Padded;Textile,Lace up,Boys,Suede,Bump Toe;Closed Toe
8065999-158667,Shoes,Loafers,,EVA,Slip-On,Boys,,
7685169-1134,Shoes,Heels,2in - 2 3/4in,Leather;Padded,Slip-On,Women,Microfiber,Square Toe
7659826-243612,Shoes,Clogs and Mules,1in - 1 3/4in,Moisture Wicking,Hook and Loop;Slip-On,Women,Suede;Wool,Round Toe;Closed Toe
7799960-293983,Shoes,Sneakers and Athletic Shoes,,Removable,Lace up,Women,Mesh,
8073195-89,Shoes,Heels,2in - 2 3/4in,Leather,Slip-On,Women,Patent Leather,Pointed Toe
7881625-353458,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Women,Mesh;Rubber;Synthetic,
7502010-121066,Sandals,Flat,,Moisture Wicking,Buckle;Slip-On,Women,Jute;Synthetic,Round Toe;Open Toe
8013871-718,Boots,Mid-Calf,2in - 2 3/4in,Padded,Pull-on,Women,Leather,Round Toe;Closed Toe
8025555-3,Boots,Ankle,4in - 4 3/4in,Leather,Elastic Gore,Women,Leather,Square Toe
7943149-316945,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Boys;Girls,Canvas,Capped Toe
7911281-552,Sandals,Flat,1in - 1 3/4in,,Slip-On,Women,Leather;Microfiber,Open Toe
7912009-332838,Shoes,Heels,1in - 1 3/4in,Leather;Padded,Lace up,Women,Leather,Wingtip
7693942-231,Boots,Mid-Calf,1in - 1 3/4in,Padded;Synthetic Leather,Pull-on,Women,Leather;Suede,Round Toe;Closed Toe
8013625-585,Sandals,Flat,3in - 3 3/4in,Padded,Slip-On,Women,Canvas;Cotton,Open Toe
7814544-357293,Shoes,Clogs and Mules,1in - 1 3/4in,Leather;Moisture Wicking;Removable,Hook and Loop,Women,Leather;Patent Leather,Round Toe;Closed Toe
7982863-358588,Shoes,Oxfords,1in - 1 3/4in,Padded,Lace up,Men,Leather,Round Toe;Closed Toe
8041972-18,Boots,Ankle,1in - 1 3/4in,Padded,Buckle,Women,Leather,Round Toe;Closed Toe
8004013-3,Shoes,Sneakers and Athletic Shoes,,EVA,Buckle;Hook and Loop,Men,Microfiber,
7978383-301379,Shoes,Sneakers and Athletic Shoes,,Leather;Removable,Lace up,Men,Microfiber;Nubuck;Rubber;Suede;Synthetic,
8118779-61508,Shoes,Flats,,Padded,Hook and Loop,Women,Leather,Round Toe;Closed Toe
7828934-585,Boots,Mid-Calf,,,Pull-on,Women,Neoprene;Rubber,Round Toe;Closed Toe
8117716-1913,Shoes,Flats,Flat,,Slip-On,Women,,Round Toe
8030303-6,Boots,Knee High,3in - 3 3/4in,,Zipper,Women,Faux Leather,Round Toe;Closed Toe
8084925-217,Slippers,Slipper Flats,Flat,Padded,Pull-on,Girls,Fleece;Faux Fur,Round Toe;Closed Toe
7891054-363134,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Women,Full-grain leather;Leather,
7879009-320633,Shoes,Sneakers and Athletic Shoes,,Padded;Removable,Lace up,Men,Mesh;Synthetic,
7772301-4969,Shoes,Loafers,,Leather,Slip-On,Men,Leather,Closed Toe
8057893-5132,Sandals,Flat,Flat,EVA,Slip-On,Men,Canvas,Closed Toe
8005806-23517,Shoes,Flats,Flat,Leather,Slip-On,Women,Leather,Round Toe
7967617-247339,Shoes,Sneakers and Athletic Shoes,,,Lace up;Zipper,Women,Leather,Capped Toe;Round Toe;Closed Toe
8006677-72,Shoes,Loafers,1in - 1 3/4in,Leather;Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
7944181-12019,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Men,Leather;Mesh,Round Toe;Closed Toe
8004356-365143,Boots,Ankle,1in - 1 3/4in,Padded,Lace up,Women,Full-grain leather,Round Toe;Closed Toe
7553759-106,Shoes,Loafers,,,Slip-On,Men,Suede,Moc Toe
8024466-79113,Boots,Knee High,3in - 3 3/4in,Gel;Leather;Padded,Zipper,Women,Leather,Almond;Pointed Toe;Closed Toe
7899925-329554,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Leather;Mesh;Rubber;Suede,
7169075-3,Sandals,Flat,,,Slip-On,Men,Synthetic,
7982168-357810,Shoes,Sneakers and Athletic Shoes,,EVA;Moisture Wicking;Padded,Lace up,Men,Mesh;Rubber,
8031650-574,Boots,Mid-Calf,Flat,Padded;Textile,Hook and Loop,Girls,Faux Fur;Suede,Round Toe
8023959-72,Boots,Ankle,,Leather,Pull-on,Women,Suede,Round Toe;Closed Toe
7977423-3,Shoes,Sneakers and Athletic Shoes,Under 1in,Memory Foam;Padded;Removable,Lace up,Women,Full-grain leather,Bump Toe
7876573-632,Shoes,Heels,3in - 3 3/4in,,Slip-On,Women,Synthetic,Peep Toe
8115508-404248,Shoes,Heels,3in - 3 3/4in,Leather;Padded,Buckle;Ankle Strap,Women,Leather,Open Toe
8024091-7294,Boots,Knee High,1in - 1 3/4in,,Zipper,Women,Synthetic,Round Toe;Closed Toe
7680820-72,Shoes,Flats,,Leather,Slip-On,Girls,Leather;Patent Leather,Round Toe
7675107-102247,Shoes,Heels,4in - 4 3/4in,Leather;Padded,Slip-On,Women,Patent Leather,Round Toe
8075384-53513,Shoes,Heels,4in - 4 3/4in,,Buckle;Ankle Strap;Zipper,Women,Suede,Peep Toe
8020674-85741,Boots,Over the Knee,1in - 1 3/4in,Padded,Pull-on,Women,Suede;Synthetic,Round Toe;Closed Toe
8087728-395295,Boots,Ankle,1in - 1 3/4in,,Lace up,Men,Leather;Nubuck,Round Toe;Closed Toe
7486126-3,Boots,Mid-Calf,,,Buckle,Men,Nylon;Polyurethane;Rubber,
7978112-3,Shoes,Heels,5in & over,,Buckle;Ankle Strap,Women,Synthetic,Open Toe
7414425-151,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Leather,
8038223-1165,Shoes,Oxfords,,EVA;Padded,Lace up,Men,Canvas,Round Toe;Closed Toe
7841428-106,Shoes,Heels,2in - 2 3/4in,Padded,Slip-On,Women,Suede,Round Toe
7775739-12011,Boots,Mid-Calf,1in - 1 3/4in,,Pull-on,Boys,Synthetic,Round Toe
7560723-239476,Boots,Knee High,2in - 2 3/4in,Leather;Padded,Pull-on,Women,Full-grain leather;Leather;Suede,Round Toe;Closed Toe
8031301-373804,Sandals,Flat,Flat,EVA,Slip-On,Women,Synthetic,Open Toe
7827850-216,Boots,Ankle,,Moisture Wicking;Padded;Removable,Lace up,Men,Leather,Moc Toe
7197093-3633,Shoes,Loafers,,,Slip-On,Men,Full-grain leather;Leather,Round Toe
7746261-7,Shoes,Loafers,,Leather;Removable,Slip-On,Boys,Leather,Moc Toe;Closed Toe
8021129-492,Shoes,Loafers,Under 1in,Leather;Padded,Slip-On,Boys,Leather,Moc Toe;Closed Toe
8002563-3,Shoes,Flats,Under 1in,Leather,Slip-On,Girls,Synthetic,Round Toe;Closed Toe
7839848-391233,Sandals,Flat,,,,Women,,
8006940-589,Shoes,Loafers,1in - 1 3/4in,Padded;Removable,Zipper,Women,Leather,Round Toe;Closed Toe
7937904-859,Shoes,Oxfords,,Leather,Lace up,Men,Leather,Moc Toe
8056490-371136,Shoes,Sneakers and Athletic Shoes,Flat,Memory Foam;Padded;Removable,Lace up,Girls,Mesh;Synthetic,
7508725-183092,Sandals,Flat,Flat,EVA,Slip-On,Men,Leather;Neoprene;Nylon,
7725972-183557,Sandals,Flat,,EVA;Leather,Slip-On,Men,Leather;Rubber,Open Toe
8044428-2957,Boots,Ankle,4in - 4 3/4in,,Lace up,Women,Synthetic,Capped Toe
7798495-500,Shoes,Boat Shoes,,Leather;Padded,Lace up,Men,,Moc Toe
7914949-333800,Shoes,Sneakers and Athletic Shoes,,Leather;Padded,Lace up,Men,Full-grain leather;Leather;Rubber;Suede,Round Toe;Closed Toe
8030809-339426,Shoes,Loafers,Under 1in,Polyurethane;Removable,Hook and Loop,Women,Leather;Nubuck,Round Toe;Closed Toe
8036414-1415,Boots,Mid-Calf,,,Zipper,Girls,,
8052242-3,Boots,Mid-Calf,1in - 1 3/4in,Leather,Buckle;Pull-on;Zipper,Women,Leather;Rubber;Suede,
8031890-3,Shoes,Firstwalker,Flat,Padded;Textile,Hook and Loop,Boys,Leather,Round Toe;Closed Toe
8044515-72,Boots,Knee High,1in - 1 3/4in,Leather,Pull-on;Zipper,Women,Leather,Round Toe;Closed Toe
7998655-89,Shoes,Flats,Flat,Leather;Padded,Hook and Loop,Girls,Patent Leather,Round Toe;Closed Toe
7911346-1145,Sandals,Flat,2in - 2 3/4in,Padded,Buckle;Sling Back,Women,Synthetic,Peep Toe
8088790-395778,Shoes,Heels,1in - 1 3/4in,Padded,Slip-On,Women,,Peep Toe
8086631-395045,Slippers,Slipper Flats,Flat,,Slip-On,Women,,Round Toe;Closed Toe
7661823-202674,Boots,Mid-Calf,,,Hook and Loop;Toggle,Boys,Faux Fur;Rubber;Synthetic,
7949173-53275,Sandals,Flat,,,Slip-On,Women,Synthetic,Open Toe
7987480-1137,Boots,Ankle,1in - 1 3/4in,EVA;Removable,Pull-on,Women,Rubber,Round Toe;Closed Toe
7704053-654,Boots,Mid-Calf,1in - 1 3/4in,,Zipper,Women,Leather,Capped Toe;Round Toe
8104707-72,Boots,Knee High,1in - 1 3/4in,,Pull-on;Zipper,Women,Leather,Round Toe;Closed Toe
8082278-393492,Shoes,Heels,5in & over,,Elastic Gore;Sling Back,Women,Suede,Open Toe
7951343-56816,Sandals,Flat,1in - 1 3/4in,Latex Lined;Moisture Wicking;Padded;Removable,Elastic Gore;Slip-On,Women,Leather,Open Toe
8069905-388098,Boots,Ankle,3in - 3 3/4in,Textile,Zipper,Women,Synthetic,Round Toe
7792954-290483,Shoes,Sneakers and Athletic Shoes,,Gel;Leather;Padded,Slip-On,Women,Leather;Mesh;Rubber,
8030789-17453,Shoes,Flats,Under 1in,Padded,Slip-On,Women,Leather,Round Toe;Closed Toe
8070726-385,Sandals,Flat,2in - 2 3/4in,Padded,Elastic Gore,Women,Synthetic,Open Toe
7882487-322732,Shoes,Clogs and Mules,4in - 4 3/4in,Leather;Padded,Slip-On,Women,Leather,Almond
8041925-376730,Shoes,Flats,,Moisture Wicking;Padded,Hook and Loop;Slip-On,Women,Patent Leather;Suede,
7787510-287522,Shoes,Sneakers and Athletic Shoes,,EVA;Leather;Padded;Synthetic Leather,Lace up,Men,Leather;Microfiber;Mesh;Rubber;Synthetic,
7648433-3008,Shoes,Oxfords,,Leather;Padded,Lace up,Women,Leather,Round Toe;Closed Toe
7716996-5078,Shoes,Sneakers and Athletic Shoes,,Padded,Lace up,Men,Leather;Mesh;Rubber,
7899648-19666,Shoes,Heels,5in & over,Leather,Slip-On,Women,Leather,Peep Toe
